id,secure_code,airline,departure_city,departure_date,arrival_airport,arrival_city,arrival_time,passenger_name,passenger_gender,seat_number,currency,departure_gate,flight_status,co_pilot_name,aircraft_type,fuel_consumption
2001,01H4EEMR8K4ZX4H7GB8ZF3N0DH,United,Ust’-Isha,21/10/2022,UVL,Kristinehamn,6/7/2023 19:03,Othello Spittall,Genderfluid,C3,RUB,C3,Delayed,Carson Ayres,Embraer E190,4841.93
2002,01H4EEMR8PFBCHHYEQ66E2F6JN,United,Khoyniki,17/10/2022,MPG,Miracema,6/7/2023 17:53,Fletch Pendlington,Male,C3,BYR,B2,Cancelled,Grantley Rozea,Airbus A320,3779.14
2003,01H4EEMR8SKKFFPJA4K9ZBQE3C,United,Osório,29/7/2022,LNA,Vilar do Pinheiro,6/7/2023 06:38,Susie Presidey,Female,C3,BRL,A1,Delayed,Philly Franzettoini,Embraer E190,9311.26
2004,01H4EEMR8VBDBCEB4NH9RTFTNN,United,Trới,10/4/2022,CMC,Nanger,6/7/2023 22:19,Dunn Steel,Male,A1,VND,B2,On Time,Hunt Soles,Airbus A320,9448.42
2005,01H4EEMR8Y8QZB4EBTF76V8FD3,Delta,La Esmeralda,2/1/2022,NOM,Calebasses,6/7/2023 13:25,Mischa Rihosek,Male,B2,VEF,B2,Delayed,Car Sams,Embraer E190,9137.93
2006,01H4EEMR91N5YZBW4437S57QYZ,American,Obihiro,21/4/2022,WGN,Vihāri,6/7/2023 04:40,Markos Jancic,Male,A1,JPY,B2,On Time,Allard Dewdeny,Boeing 737,5775.05
2007,01H4EEMR94CV09C1GRAJ5VXGTE,American,Hotsk,28/6/2022,OHO,Masjid,6/7/2023 04:04,Loretta Duggleby,Female,A1,BYR,B2,Cancelled,Perri Faucett,Embraer E190,9162.91
2008,01H4EEMR99RHGGY8SH9B4CVVW9,Delta,Ujar,21/3/2022,NRT,Yanghuxiang,6/7/2023 14:33,Dory Proud,Female,B2,AZN,A1,Delayed,Bobbee Voller,Airbus A320,3349.44
2009,01H4EEMR9CM89ZM8F8V0TPRE8N,American,Linshui,30/3/2022,JUI,Maluanluan,6/7/2023 17:19,Selie Lanston,Female,A1,CNY,A1,Cancelled,Caresse McGaugie,Boeing 737,2628.44
2010,01H4EEMR9F1SCQSJYXC5R053PG,American,Modot,5/5/2022,BBH,Uyo,6/7/2023 16:42,Charil Cullinan,Genderfluid,C3,MNT,C3,On Time,Myron Ayrton,Embraer E190,4374.83
2011,01H4EEMR9J3B21X0QKTVKJCBMR,United,Jaraguá do Sul,16/6/2022,EBW,Dobřany,6/7/2023 19:15,Donna Strass,Female,A1,BRL,A1,Cancelled,Gretel Caulcott,Airbus A320,1689.77
2012,01H4EEMR9NRFARRFRFF4GK2Y12,United,Campo Quijano,12/11/2022,BIL,As Sukhnah,6/7/2023 09:24,Flinn Petti,Male,B2,ARS,B2,Delayed,Pavel Ivanov,Embraer E190,8201.46
2013,01H4EEMR9RWAPHP7Y6Y8SYH65A,Delta,Krajan Tegalombo,28/8/2022,THA,Dorp Antriol,6/7/2023 06:49,Corrine Marty,Bigender,A1,IDR,B2,On Time,Petr Vautrey,Boeing 737,7475.08
2014,01H4EEMR9V9N9MEKZ5C79S9WZZ,American,Casa Quemada,18/7/2022,NJA,Saki,6/7/2023 11:53,Mella Durdle,Female,A1,HNL,A1,Delayed,Sal Samme,Embraer E190,6494.78
2015,01H4EEMR9XD3JVK7NCFPQD7G6P,United,Juvisy-sur-Orge,15/8/2022,DBY,Shangcheng Chengguanzhen,6/7/2023 11:31,Glori Todeo,Genderfluid,C3,EUR,B2,Delayed,Walden Runnalls,Embraer E190,4656.42
2016,01H4EEMRA04BRM4YYN2RAM43AF,Delta,Mesa,24/9/2022,ATG,Gōdo,6/7/2023 06:06,Clim Durrington,Male,C3,USD,B2,Cancelled,Cullin Shergold,Boeing 737,2315.39
2017,01H4EEMRA3XKBXCQ7D33EQC3X1,Delta,Vanderbijlpark,12/11/2022,VAK,Lindavista,6/7/2023 13:03,Brandy Traves,Female,B2,ZAR,B2,On Time,Barbi Robillard,Embraer E190,2619.94
2018,01H4EEMRA6F41VYECAJXT96HC1,American,Cachoeira do Sul,27/5/2022,SCV,Chapultepec,6/7/2023 08:29,Isabel Purchall,Female,B2,BRL,B2,On Time,Gail Giacomuzzo,Embraer E190,3407.78
2019,01H4EEMRA9QNK333TRJZMKS1TA,American,Kotatengah,3/1/2022,YXL,Arcueil,6/7/2023 06:04,Lita Burrell,Female,A1,IDR,A1,Delayed,Kimmie Regitz,Boeing 737,1660.32
2020,01H4EEMRACD95JMMZNAZSN23Z8,American,Gandara,19/10/2022,KRC,Abadiânia,6/7/2023 00:33,Doralynne Eversley,Female,B2,EUR,C3,Delayed,Agnese Bertlin,Boeing 737,7780.92
2021,01H4EEMRAEPGMD3Z4150PNKV62,Delta,Tadou,7/6/2022,EVX,Lingda,6/7/2023 09:34,Stafani Townes,Female,A1,CNY,C3,On Time,Binnie Edwinson,Embraer E190,1843.84
2022,01H4EEMRAHTXQ4EFDYMX2AJZZ3,American,Haveluloto,6/4/2022,KJU,Morelos,6/7/2023 10:25,Rycca Wanderschek,Female,C3,TOP,B2,Cancelled,Flori Gilstin,Airbus A320,9903.39
2023,01H4EEMRAMEC7FJ3G7ZGRATEJ1,United,Samara,12/1/2022,SNS,Sambonggede,6/7/2023 21:17,Immanuel Cramphorn,Male,B2,RUB,C3,Delayed,Krisha Northrop,Airbus A320,7731.51
2024,01H4EEMRAQTTA9M0PG6E4S77BE,Delta,Feijó,28/9/2022,YDJ,Kertapura,6/7/2023 12:34,Jacenta Hassett,Female,C3,BRL,B2,Cancelled,Rania Comusso,Boeing 737,4811.27
2025,01H4EEMRAT3KNK472K6S95H5VY,United,Hīsh,4/4/2022,BCK,Zhuangbian,6/7/2023 18:33,Maurice Galilee,Male,C3,SYP,C3,Delayed,Virgie Wyche,Airbus A320,2675.73
2026,01H4EEMRAX45E2DFEJSWK8TCCE,American,Yanino Vtoroye,28/9/2022,DIW,Portachuelo,6/7/2023 05:29,Maiga Latty,Female,C3,RUB,A1,Delayed,Dorisa Etherson,Boeing 737,3786.2
2027,01H4EEMRAZ83YS8GS6NHVDZ9M4,United,Cunha,20/1/2022,CUC,Palmira,6/7/2023 04:44,Dwayne Volleth,Male,B2,BRL,C3,Delayed,Huberto Brimham,Boeing 737,1644.09
2028,01H4EEMRB2SX235NKA5CBZHRVE,American,Angkup,25/11/2022,KBH,Rouen,6/7/2023 03:25,Peyton Freckingham,Male,C3,IDR,A1,Cancelled,Rourke Ketteridge,Embraer E190,3750.86
2029,01H4EEMRB5Z3VXCDC1VTJZK2JT,American,João Monlevade,26/10/2022,HSJ,Babakankadu,6/7/2023 12:26,Elsa Croker,Genderfluid,C3,BRL,C3,Delayed,Avivah Ray,Boeing 737,5488.48
2030,01H4EEMRB81G94TFKXANPGBRP2,United,Daraitan,18/8/2022,TCY,Dianzi,6/7/2023 21:54,Jonas Risebrow,Male,A1,PHP,B2,Cancelled,Vaughan Olley,Airbus A320,2971.84
2031,01H4EEMRBBCKT5716CW649KA6D,Delta,Konakridee,10/7/2022,PRR,Kajiki,6/7/2023 14:00,Tamara Hourstan,Non-binary,C3,SLL,B2,On Time,Mannie Audley,Boeing 737,7236.39
2032,01H4EEMRBE2MPTATGT6K7BAAXB,United,Iradan,22/10/2022,GRC,Villaba,6/7/2023 17:05,Isabelita Grundon,Female,C3,KGS,A1,Cancelled,Nancie Westgarth,Embraer E190,1967.1
2033,01H4EEMRBH023HA60KDDNXQP5K,United,Mutum Biyu,28/2/2022,DBB,Néos Oropós,6/7/2023 19:10,Frazer Clawsley,Male,B2,NGN,A1,Delayed,Ingar Karppi,Boeing 737,4940.53
2034,01H4EEMRBKCSB4A4A7YQAHRKER,United,Trbovlje,29/1/2022,DCM,Cikabuyutan Barat,6/7/2023 00:33,Krista Reditt,Female,A1,EUR,C3,On Time,Faythe Wickins,Boeing 737,5108.9
2035,01H4EEMRBPNX6W0APABA49EFDM,United,Dongjingcheng,30/3/2022,VBA,Mahīn,6/7/2023 03:53,Sigismondo Cheeld,Male,A1,CNY,A1,Delayed,Patric Perone,Embraer E190,6520.8
2036,01H4EEMRBSW6MM4J06ZJ10BZ0X,United,Basar,28/9/2022,MYZ,Songshan,6/7/2023 02:25,Ileane Jordan,Female,B2,CNY,B2,Delayed,Stefania Coronado,Embraer E190,8730.71
2037,01H4EEMRBWPK8D6N7HVNPTFW0A,American,Várzea da Serra,5/9/2022,SXW,Thị Trấn Quảng Uyên,6/7/2023 20:09,Michelina Bosward,Female,C3,EUR,A1,Cancelled,Marylou Ferrulli,Boeing 737,5505.63
2038,01H4EEMRBZ7HZAY20CVZWX4BYJ,Delta,Abu Dhabi,6/10/2022,LFQ,Vitebsk,6/7/2023 05:32,Valaria Climance,Female,C3,AED,C3,On Time,Jobina Terrey,Boeing 737,4285.76
2039,01H4EEMRC2PGS6WRNQD5JF13RP,United,Tukan,23/1/2022,EST,Chhātak,6/7/2023 19:40,Corbin Tweede,Male,C3,RUB,A1,Cancelled,Spenser Floris,Airbus A320,8599.3
2040,01H4EEMRC5F4422SN6EK70NDA3,American,Zizhao,21/5/2022,PPL,Zombo,6/7/2023 15:19,Abran Wemes,Male,A1,CNY,A1,Delayed,Wittie Pracy,Airbus A320,8437.84
2041,01H4EEMRC8KH8SS2G6CN5ZQJK1,American,Cipicung,26/9/2022,KIL,Gaio,6/7/2023 10:08,Clarita Wiffill,Female,C3,IDR,A1,On Time,Katuscha Perell,Embraer E190,5000.38
2042,01H4EEMRCB3SRVM8YQ6B0KRPVA,Delta,Merik,19/11/2022,DOH,Kista,6/7/2023 04:59,Farrel Kernes,Male,A1,IDR,B2,Cancelled,Roman Mannin,Boeing 737,7075.68
2043,01H4EEMRCDNST4K69NFSPPTFQ4,American,Houmt Souk,31/3/2022,YVQ,Santa Maria da Vitória,6/7/2023 09:18,Edd Ramelot,Male,A1,TND,C3,On Time,Elia Ianne,Airbus A320,7042.66
2044,01H4EEMRCGWS8GY5PDT52ESHV5,United,Shah Alam,19/2/2022,MBI,Cabano,6/7/2023 19:28,Michaelina Castagne,Female,B2,MYR,B2,On Time,Alma Cutridge,Boeing 737,7085.79
2045,01H4EEMRCKJAX9R2FH1MGF0XV8,American,Krousón,27/3/2022,NVI,Gävle,6/7/2023 01:43,Mikol Covendon,Male,C3,EUR,C3,On Time,Sol Ferry,Embraer E190,4627.05
2046,01H4EEMRCPY64WEH9V65PMTHJT,Delta,Chaem Luang,31/5/2022,YGZ,Bungabon,6/7/2023 18:10,Papagena Stiller,Female,A1,THB,B2,Cancelled,Kelcie Hebdon,Boeing 737,7336.69
2047,01H4EEMRCSFPN3WT20Q5MYW47K,Delta,Toulouse,20/6/2022,GKH,Kogon,6/7/2023 08:08,Ritchie Layne,Male,C3,EUR,C3,On Time,Raymund Cadden,Boeing 737,1853.58
2048,01H4EEMRCWKPTCF4B7K7DR9S47,Delta,Liutan,26/9/2022,MDH,Laliki,6/7/2023 06:25,Chancey Culpan,Male,A1,CNY,C3,On Time,Ezequiel Catherick,Embraer E190,4630.6
2049,01H4EEMRCZM1D8WYA1E38EKJ79,United,Benguela,22/3/2022,GED,Guanay,6/7/2023 20:03,Tybie Gieves,Female,C3,AOA,A1,Delayed,Flore Postgate,Boeing 737,6358.18
2050,01H4EEMRD2HFHEDS61KG6BCMYN,American,Dŭstí,18/1/2022,KRJ,Ḩakamā,6/7/2023 22:43,Alena Kerrane,Female,A1,TJS,C3,Delayed,Adria Froom,Boeing 737,5443.93
2051,01H4EEMRD5TTEF5CWYN0SJAK3W,American,Suizhong,21/1/2022,ROI,Yushu,6/7/2023 17:15,Murdock Pummell,Male,B2,CNY,A1,Cancelled,Burke Folcarelli,Boeing 737,7781.15
2052,01H4EEMRD7VB0X2YXVR361F2ZR,United,Alpatovo,4/8/2022,BAA,Venâncio Aires,6/7/2023 16:25,Shirlee Puve,Female,C3,RUB,C3,On Time,Cherise Tawse,Airbus A320,8872.53
2053,01H4EEMRDA0MG5TZF0XBAWPRS5,Delta,Muzayri‘,8/3/2022,SIU,Antsohihy,6/7/2023 14:53,Babita Winspar,Female,B2,AED,B2,On Time,Hillary Hovert,Embraer E190,4211.06
2054,01H4EEMRDD3B0EP6706R84XP6R,Delta,Skoútari,3/4/2022,SXK,Camacupa,6/7/2023 20:52,Burgess Bellhouse,Male,C3,EUR,A1,On Time,Donnie Peskett,Airbus A320,3228.69
2055,01H4EEMRDG4DZ7KDE496ABFT0T,American,Dapdap,26/9/2022,TIK,Tauca,6/7/2023 20:01,Ring McIlhone,Male,B2,PHP,A1,Delayed,Far Zanetello,Embraer E190,1347.86
