id,secure_code,airline,departure_city,departure_date,arrival_airport,arrival_city,arrival_time,passenger_name,passenger_gender,seat_number,currency,departure_gate,flight_status,co_pilot_name,aircraft_type,fuel_consumption
4001,01H4EEMZ2SXKZAF4ESYHF9GY4P,United,Xiabaishi,1/12/2022,VPZ,Saltsjö-Boo,6/7/2023 07:38,Erasmus Grim,Genderqueer,C3,CNY,A1,On Time,Brandy Epps,Embraer E190,2394.39
4002,01H4EEMZ2WS3WW5CZXQZCGSQBA,United,Mê Linh,12/8/2022,MWD,Sogati,6/7/2023 13:29,Cam Aucock,Male,B2,VND,C3,Cancelled,Stanleigh Pickring,Boeing 737,7216.32
4003,01H4EEMZ2ZW67GYEMFDCW3GKF9,United,Buenos Aires,25/12/2022,WPK,Weiwangzhuang,6/7/2023 16:50,Finlay Wickes,Male,A1,PEN,B2,Cancelled,Fee Bilsford,Boeing 737,8360.83
4004,01H4EEMZ31684170Q2B12P89KD,United,Tosontsengel,27/3/2022,FXO,Luozhuang,6/7/2023 21:10,Hyman Bever,Male,B2,MNT,C3,On Time,Jefferson McSorley,Airbus A320,5421.46
4005,01H4EEMZ34D4N4G1APWZ9G9Y1R,American,Lingion,13/11/2022,TUM,Razumnoye,6/7/2023 18:32,Nicholas Shoute,Agender,C3,PHP,C3,Delayed,Munmro Shobrook,Airbus A320,4692.56
4006,01H4EEMZ3715ATHW6Q96FMYYV4,United,Xi’an,20/7/2022,AGE,Dadus,6/7/2023 17:31,Anna Janusik,Female,B2,CNY,A1,Cancelled,Starr Muttitt,Airbus A320,9098.8
4007,01H4EEMZ3A36BRPP7RYN65DFCK,United,Louisville,19/4/2022,SBQ,Pengshi,6/7/2023 16:22,Galvan Conen,Male,A1,USD,A1,Delayed,Mick Yeeles,Airbus A320,7936.96
4008,01H4EEMZ3DH0JP5ZWY52A2RWWZ,American,Tianhekou,18/12/2022,FAN,Byczyna,6/7/2023 02:07,Elga Brittoner,Genderqueer,B2,CNY,B2,On Time,Merrilee Hepher,Boeing 737,6015.65
4009,01H4EEMZ3GA5ERHG2RM1YT9AT8,Delta,Palmira,10/11/2022,HOY,Puente Alto,6/7/2023 05:35,Giulia Stanyard,Female,A1,CUP,C3,On Time,Kimberley Cox,Airbus A320,2313.6
4010,01H4EEMZ3JM7SVK4538FCBGX45,United,Saratov,4/2/2022,URC,Erqu,6/7/2023 06:43,Yorgo Crevagh,Male,A1,RUB,B2,Delayed,Tonnie Sugge,Airbus A320,4166.37
4011,01H4EEMZ3NJXP2YQ67KX4NBS55,United,Wichit,16/7/2022,SWH,Pindi Gheb,6/7/2023 18:38,Zora Gransden,Polygender,C3,THB,C3,Cancelled,Olin Niblock,Boeing 737,7841.5
4012,01H4EEMZ3R8717JMWP7TGZ8084,Delta,Siaton,27/1/2022,LID,Liangting,6/7/2023 08:24,Hadria Palek,Female,A1,PHP,A1,On Time,Evania Milmith,Boeing 737,2251.44
4013,01H4EEMZ3VN81QE2KRDWWHE6PK,United,Kengyuan,1/3/2022,BSW,Lebak,6/7/2023 04:41,Tobias Madgwick,Genderqueer,B2,CNY,A1,Cancelled,Portie Armour,Airbus A320,9524.27
4014,01H4EEMZ3Y8X5GCPWH8KRV3QYV,United,Yuqunweng,29/11/2022,IGG,Gujiadian,6/7/2023 20:58,Adolph Authers,Male,B2,CNY,C3,On Time,Theodoric Winear,Airbus A320,2898.94
4015,01H4EEMZ41ZW530RCKV3SBG2S6,United,Křižanov,13/7/2022,CUU,Diaofeng,6/7/2023 02:01,Merrel Maroney,Male,A1,CZK,B2,Delayed,Forrester Keohane,Boeing 737,3862.35
4016,01H4EEMZ43S0AWGF3VXN7HQ78Y,American,Panay,29/5/2022,MAX,Huazhu,6/7/2023 01:04,Sebastian Allitt,Male,C3,PHP,B2,Delayed,Camey Barkhouse,Airbus A320,8720.71
4017,01H4EEMZ46GS5AYC84MAT4X3M5,United,Canillo,22/10/2022,QGP,Kryvyy Rih,6/7/2023 00:10,Katti Surgen,Female,C3,EUR,A1,Delayed,Bobbye Scryne,Embraer E190,3497.85
4018,01H4EEMZ499STC5SE2RTZP355Q,Delta,Rio Brilhante,21/9/2022,YYM,Hōfu,6/7/2023 22:10,Farley Iltchev,Male,C3,BRL,C3,Delayed,Earlie Chasemore,Boeing 737,6980.72
4019,01H4EEMZ4CMYK6PEKDTTEH4FEA,United,Chapecó,30/11/2022,TJC,Montbéliard,6/7/2023 21:10,Rosene Chiles,Female,A1,BRL,B2,Delayed,April O' Timony,Airbus A320,7990.26
4020,01H4EEMZ4FK7SXVVNWEJ0CBCT3,American,Lamalera,17/3/2022,IFA,Kedungbanteng Krajan,6/7/2023 16:41,Fowler Leggitt,Genderqueer,B2,IDR,C3,Cancelled,Terrel Gowrich,Airbus A320,4548.78
4021,01H4EEMZ4J38PMM422J5WW9805,American,Ludgeřovice,18/11/2022,FBG,Tabou,6/7/2023 00:22,Janot Hannigan,Female,B2,CZK,A1,Delayed,Joelie Guiett,Airbus A320,9952.04
4022,01H4EEMZ4N6P444KNF0410TH8Y,United,Tangalla,31/1/2022,RIM,Tapel,6/7/2023 04:13,Rickard Cayford,Male,C3,LKR,A1,Delayed,Gib Jolliss,Airbus A320,3149.61
