flight_id,flight_number,departure_airport,departure_country,departure_time,arrival_country,arrival_date,flight_duration,passenger_age,passenger_nationality,ticket_price,baggage_weight,arrival_gate,pilot_name,cabin_crew_count,aircraft_registration,flight_distance
1,1978,CFQ,Germany,6/7/2023 04:42,Colombia,27/12/2022,14.18,0,Colombia,797.24,43.85,E5,Sunny Few,9,N12345,1400.24
2,2337,ONG,France,6/7/2023 17:31,New Zealand,23/12/2022,13.54,29,Sweden,383.63,35.78,D4,Donielle Strut,4,N12345,465.84
3,7588,TEX,Nigeria,6/7/2023 11:08,Indonesia,30/9/2022,6.28,34,Argentina,439.09,47.81,D4,Shelly Paddefield,3,N67890,3151.78
4,7545,ORB,Japan,6/7/2023 11:11,China,14/10/2022,5.6,34,China,706.19,25.79,D4,Babara Kretschmer,6,N12345,264.64
5,4553,WEW,Thailand,6/7/2023 10:40,Russia,13/10/2022,14.71,40,Uruguay,906.66,11.6,E5,Bert Mathison,5,N67890,2158.97
6,2803,BBV,Brazil,6/7/2023 18:37,Portugal,29/3/2022,15.39,42,South Korea,131.44,29.75,D4,Sergent Scarffe,5,N67890,4838.19
7,757,JUT,Kazakhstan,6/7/2023 10:07,Cuba,2/9/2022,17.45,36,Brazil,476.27,31.51,D4,Rayner Pennyman,3,N67890,1777.3
8,8642,ELQ,France,6/7/2023 23:13,Montenegro,4/2/2022,4.77,53,Brazil,640.94,26.07,E5,Johnathan Liversedge,6,NABCDE,109.33
9,2765,IZA,China,6/7/2023 18:28,China,7/1/2022,2.94,57,China,133.09,22.26,F6,Willette Episcopio,4,N12345,3589.68
10,6815,LEE,Japan,6/7/2023 12:14,France,5/8/2022,21.62,52,Greece,116.34,27.61,D4,Lilah Kempe,5,N67890,228.93
11,6610,KPB,Portugal,6/7/2023 03:30,Ukraine,7/1/2022,9.21,70,Peru,459.82,45.14,E5,Hodge Polak,5,N12345,3974.33
12,8756,OGL,Philippines,6/7/2023 20:41,Ireland,1/11/2022,3.86,94,Argentina,462.73,49.57,D4,Lauren Bussons,5,N67890,2646.13
13,3976,NVY,Indonesia,6/7/2023 18:56,Brazil,28/11/2022,23.51,66,Sweden,930.5,39.47,F6,Lisetta Proudler,1,N12345,2442.77
14,506,ZTA,Greece,6/7/2023 00:55,France,25/3/2022,22.49,66,Ukraine,963.38,6.13,F6,Thorny Eggleson,3,NABCDE,3944.21
15,1420,RUK,Libya,6/7/2023 13:08,China,25/1/2022,12.5,79,Bolivia,721.82,11.42,D4,Field McEntee,7,NABCDE,745.48
16,6843,MTY,Indonesia,6/7/2023 07:41,Croatia,20/12/2022,19.42,86,Poland,723.34,43.14,D4,Josh Docharty,9,NABCDE,1008.69
17,933,PCO,Nigeria,6/7/2023 18:12,Mexico,17/4/2022,21.86,45,Norway,983.86,34.47,E5,Edward Pavolini,5,N67890,3659.46
18,9051,DHG,China,6/7/2023 09:46,Peru,1/1/2022,6.62,60,Portugal,216.07,2.59,F6,Arlana Pudner,3,N67890,4842.87
19,2934,HAO,China,6/7/2023 08:26,France,12/10/2022,13.13,82,Greece,835.35,43.71,F6,Nadean Verrell,4,N12345,4133.64
20,8761,TCZ,Philippines,6/7/2023 07:20,Japan,2/9/2022,14.22,29,France,861.69,20.1,F6,Andre Gatiss,7,NABCDE,2833.98
21,4457,RUS,Ireland,6/7/2023 15:41,Indonesia,21/1/2022,12.33,18,France,183.05,47.07,E5,Zebulon Veelers,3,NABCDE,1607.09
22,5395,APF,Indonesia,6/7/2023 06:07,Colombia,26/7/2022,1.3,75,Pakistan,692.82,49.04,D4,Ainslie Shewsmith,2,N67890,3993.61
23,4122,RDZ,China,6/7/2023 01:58,Philippines,26/6/2022,20.27,69,China,77.86,46.2,F6,Sibley Gilleon,9,N12345,309.85
24,3023,GLC,Bhutan,6/7/2023 21:44,Portugal,30/1/2022,8.57,62,Hungary,550.5,37.46,E5,Delbert Reddings,7,NABCDE,1530.2
