flight_id,flight_number,departure_airport,departure_country,departure_time,arrival_country,arrival_date,flight_duration,passenger_age,passenger_nationality,ticket_price,baggage_weight,arrival_gate,pilot_name,cabin_crew_count,aircraft_registration,flight_distance
4001,4693,NTD,China,6/7/2023 09:12,Sweden,16/5/2022,11.36,81,China,150.89,29.04,F6,Karlik Clemetts,8,N12345,3621.45
4002,8158,UNK,Vietnam,6/7/2023 21:27,Indonesia,29/11/2022,12.04,21,Peru,455.35,48.34,F6,Bentley Liddyard,6,N12345,1711.91
4003,2466,YPY,Peru,6/7/2023 05:09,China,25/12/2022,19.34,66,Brazil,215.23,11.09,E5,Garreth O'Doireidh,2,N12345,296.9
4004,4808,OBI,Mongolia,6/7/2023 13:19,China,19/7/2022,13.39,55,Czech Republic,943.96,0.44,F6,Prent Durston,5,N67890,3848.62
4005,7780,WOW,Philippines,6/7/2023 12:58,Russia,23/6/2022,5.97,50,Guatemala,800.65,39.53,E5,Ilse Boleyn,5,N12345,2686.87
4006,3020,CYX,China,6/7/2023 19:06,Philippines,24/12/2022,5.97,65,Thailand,88.2,14.71,E5,Chloris Clemson,8,NABCDE,2550.13
4007,9094,APR,United States,6/7/2023 08:16,China,28/8/2022,1.25,69,Russia,591.46,30.86,F6,Eziechiele Yanukhin,6,N12345,508.38
4008,3479,NIA,China,6/7/2023 16:06,Poland,29/4/2022,16.78,89,China,606.42,37.33,F6,L;urette Klemensiewicz,9,NABCDE,2732.92
4009,6575,HAN,Cuba,6/7/2023 06:49,Chile,21/10/2022,18.92,66,Brazil,510.82,37.64,D4,Milka Phelip,10,N12345,2244.74
4010,7556,COB,Russia,6/7/2023 03:35,China,9/4/2022,7.39,27,China,352.64,18.91,E5,Chuck Karle,6,N12345,2054.21
4011,7459,ZUL,Thailand,6/7/2023 20:04,Pakistan,7/4/2022,23.35,74,Uganda,752.9,6.87,D4,Lilly Selman,1,N67890,933.04
4012,4222,STC,Philippines,6/7/2023 23:14,China,6/8/2022,20.64,71,Russia,146.37,28.4,F6,Calli Duffer,9,N67890,3071.08
4013,9396,TOC,China,6/7/2023 02:58,Indonesia,12/10/2022,6.23,42,Poland,789.11,40.11,E5,Gorden Biaggiotti,10,NABCDE,4339.5
4014,1974,VCF,China,6/7/2023 21:41,China,15/8/2022,20.56,41,Russia,220.54,34.67,E5,Brew Jerrems,4,NABCDE,1593.54
4015,8595,PBP,Czech Republic,6/7/2023 09:56,China,13/3/2022,18.34,21,Serbia,372.29,44.18,E5,Arny Whatham,5,NABCDE,4975.33
4016,6493,BOA,Philippines,6/7/2023 21:23,China,15/6/2022,16.61,19,Austria,580.01,4.57,F6,Riobard Skitch,9,NABCDE,4069.38
4017,2533,TIP,Andorra,6/7/2023 18:04,Ukraine,18/11/2022,22.79,100,Russia,291.34,0.08,E5,Jocelin Jendrusch,3,N67890,3745.24
4018,8297,RBT,Brazil,6/7/2023 17:40,Japan,19/7/2022,22.03,68,Indonesia,549.51,4.76,E5,Thatch Earley,10,N67890,4776.57
4019,1216,RDG,Brazil,6/7/2023 22:54,France,2/11/2022,7.07,30,Senegal,695.27,7.1,D4,Gertrudis Marklew,8,N12345,2954.73
4020,9387,JVL,Indonesia,6/7/2023 07:56,Indonesia,11/6/2022,22.12,30,Ukraine,722.77,39.26,F6,Garreth Kornousek,7,NABCDE,4409.26
4021,4186,YDA,Czech Republic,6/7/2023 08:10,Ivory Coast,24/10/2022,9.9,40,China,73.0,37.13,F6,Berri Amori,9,N67890,1918.36
4022,2536,BKC,Sri Lanka,6/7/2023 23:08,Philippines,12/2/2022,22.91,30,China,472.75,17.46,E5,Templeton Gilliat,2,NABCDE,3691.38
4023,4836,UBB,United Kingdom,6/7/2023 07:11,China,7/4/2022,14.3,81,Finland,632.8,16.51,D4,Benetta Bellanger,4,N12345,3609.91
4024,5023,EUC,Sweden,6/7/2023 15:07,Vietnam,11/2/2022,7.16,58,Jordan,966.62,42.22,F6,Kennedy Willwood,7,N12345,2139.13
4025,2834,YHH,Tajikistan,6/7/2023 09:59,Russia,27/8/2022,9.33,83,Colombia,496.88,17.07,D4,Tracey Gerardet,10,NABCDE,790.32
4026,9806,GAS,Ukraine,6/7/2023 18:41,Brazil,10/6/2022,20.23,87,China,758.73,42.83,D4,Etan Connal,7,NABCDE,1357.64
4027,4288,KRL,Indonesia,6/7/2023 16:09,China,13/6/2022,5.27,85,Guatemala,573.17,19.15,F6,Jarrod Bruford,5,NABCDE,4476.65
4028,683,MET,Honduras,6/7/2023 00:17,Sweden,26/4/2022,3.01,30,China,922.65,6.81,F6,Delia Ellsworthe,9,NABCDE,283.36
4029,2547,0,Iran,6/7/2023 17:06,China,19/9/2022,22.06,67,Russia,428.48,13.3,F6,Alley Shurville,8,N12345,2573.11
4030,3201,DUF,United States,6/7/2023 04:09,Indonesia,6/10/2022,7.94,50,Tunisia,564.39,37.84,F6,Gloriana Desporte,3,N12345,4483.1
4031,6927,BRV,Portugal,6/7/2023 16:03,Mexico,11/11/2022,19.03,81,Russia,435.08,46.4,D4,Geno Fussell,8,NABCDE,1858.16
4032,6793,GEV,Indonesia,6/7/2023 01:02,Belarus,31/3/2022,8.24,94,Albania,329.28,42.83,E5,Robbert Perrin,2,NABCDE,669.89
4033,5653,XTL,China,6/7/2023 18:41,Sweden,24/10/2022,16.47,34,United States,767.47,25.08,E5,Elvina MacKill,1,N67890,4400.54
4034,9346,NRY,Portugal,6/7/2023 23:34,China,15/10/2022,19.27,38,Indonesia,611.29,1.37,D4,Atlante Hemphill,1,NABCDE,3883.58
4035,1361,KHK,Brazil,6/7/2023 02:34,China,21/12/2022,17.01,30,Russia,994.12,34.39,E5,Edythe Handslip,7,NABCDE,2054.29
4036,2580,MAJ,France,6/7/2023 06:59,Czech Republic,19/6/2022,23.84,35,China,181.92,29.53,E5,Velvet Kersey,8,N67890,168.75
4037,6840,OKH,Finland,6/7/2023 05:32,France,3/12/2022,13.23,98,France,226.3,46.5,F6,Ofilia Deplacido,10,NABCDE,2657.6
4038,709,ROX,China,6/7/2023 01:54,China,11/1/2022,16.94,59,China,146.12,19.42,E5,Rolph Jouandet,6,N12345,3550.51
4039,3389,BJP,Ecuador,6/7/2023 21:11,Thailand,5/4/2022,22.72,84,China,544.88,45.47,F6,Iggie Wilman,7,N67890,4257.03
4040,1259,AKP,Ukraine,6/7/2023 23:28,Indonesia,12/1/2022,12.83,23,Ethiopia,539.83,38.25,D4,Jobey Willbraham,6,N12345,4571.99
4041,6495,REI,Ukraine,6/7/2023 23:16,Belarus,11/8/2022,16.51,70,Canada,880.87,25.67,D4,Jock Saffell,1,NABCDE,347.98
4042,9632,PZB,Czech Republic,6/7/2023 07:03,Indonesia,16/11/2022,6.38,19,China,764.47,10.77,D4,Phedra Crankshaw,5,N12345,2239.48
4043,429,LYH,Syria,6/7/2023 20:44,China,28/9/2022,16.38,28,Japan,800.98,24.68,E5,Karrah Isacke,5,N67890,2121.85
4044,9536,DDP,Philippines,6/7/2023 07:05,Philippines,16/11/2022,5.35,86,Russia,636.24,24.09,F6,Pren Kidwell,4,N12345,4362.31
4045,4603,NKP,United Kingdom,6/7/2023 14:28,China,7/2/2022,19.68,28,Philippines,512.01,6.79,D4,Allison Dyas,7,N67890,4546.76
4046,3712,RUK,Indonesia,6/7/2023 06:08,Philippines,19/10/2022,14.48,40,China,232.45,25.41,D4,Genny Kalinke,10,N67890,3400.76
4047,7502,BNN,Pakistan,6/7/2023 01:50,China,26/3/2022,11.4,90,Poland,743.93,39.63,F6,Jereme Byars,1,NABCDE,3442.53
4048,1906,YGG,Indonesia,6/7/2023 09:51,Sweden,20/4/2022,12.42,45,Philippines,685.0,28.67,F6,Elvera Hodges,10,N12345,2679.96
4049,4187,PPG,United States,6/7/2023 01:52,Argentina,29/11/2022,11.02,60,China,584.72,20.92,F6,Alvan Rawson,1,NABCDE,1932.35
4050,8358,LFP,Canada,6/7/2023 06:15,Ukraine,27/10/2022,15.76,48,Indonesia,523.45,24.62,E5,Maurita Durante,6,N67890,1123.47
4051,8225,ORT,Poland,6/7/2023 08:00,Thailand,4/8/2022,2.52,23,Russia,647.1,32.13,E5,Christina Capell,1,N67890,1741.67
4052,3000,CGE,Brunei,6/7/2023 10:56,China,27/11/2022,21.69,68,Philippines,460.79,35.91,F6,Traver Christie,4,N12345,168.5
4053,4826,PBV,China,6/7/2023 17:52,Japan,17/9/2022,9.36,73,Portugal,554.34,13.14,D4,Kaitlyn Gutteridge,8,N12345,3579.43
4054,9628,REE,Portugal,6/7/2023 05:16,Finland,5/1/2022,23.64,20,Indonesia,772.73,1.85,F6,Doy McFarlane,4,N12345,751.92
4055,5099,CYM,Turkmenistan,6/7/2023 07:22,Norway,8/6/2022,14.74,98,China,866.57,4.53,E5,Suellen Mardall,10,N67890,2271.95
4056,5398,SDH,Canada,6/7/2023 13:17,Zimbabwe,8/6/2022,13.31,51,Yemen,129.91,41.25,F6,Hasheem O' Byrne,1,NABCDE,1065.62
4057,352,ACX,North Korea,6/7/2023 09:35,China,9/6/2022,23.77,60,Greece,872.06,37.12,D4,Rufe Belden,10,NABCDE,2222.45
4058,8343,TNH,China,6/7/2023 16:41,Argentina,6/10/2022,15.88,18,Peru,483.87,14.5,D4,Chloris Saines,1,N12345,4058.22
4059,2356,LCQ,Russia,6/7/2023 06:21,Japan,17/6/2022,8.08,51,Sweden,977.63,10.34,D4,Glen Gibbons,10,NABCDE,3571.4
4060,493,QOA,Senegal,6/7/2023 03:37,China,10/9/2022,21.69,97,Moldova,305.09,0.44,E5,Clarita Vigar,2,N67890,4804.57
4061,2353,UKU,Croatia,6/7/2023 14:36,Slovenia,13/11/2022,20.8,73,United States,588.45,14.64,D4,Hercules Grimsdith,3,N67890,2076.47
4062,5485,NYA,Brazil,6/7/2023 16:25,Ukraine,11/4/2022,20.77,89,Spain,444.99,29.13,F6,Ambur MacCaull,4,N67890,1617.34
4063,9615,LGK,Morocco,6/7/2023 02:11,Ukraine,18/2/2022,12.23,28,Mexico,88.72,45.94,F6,Jordon Snufflebottom,1,N12345,2693.48
4064,6557,NTO,Mauritania,6/7/2023 23:18,Tanzania,29/6/2022,4.92,18,Indonesia,520.58,40.02,F6,Gard Schistl,8,NABCDE,3537.18
4065,4254,SBA,South Korea,6/7/2023 21:18,Poland,26/5/2022,5.13,31,Finland,869.6,30.56,D4,Leroi Lenoir,2,N12345,4245.22
4066,7873,MOA,China,6/7/2023 09:21,Tajikistan,16/8/2022,19.26,67,Albania,695.62,45.5,E5,Hillel Snelle,4,N67890,2755.48
4067,3083,LOV,China,6/7/2023 08:02,Philippines,19/9/2022,6.76,61,Iran,931.67,13.19,D4,Mada Reichhardt,6,NABCDE,1530.52
4068,3492,OGD,China,6/7/2023 23:19,Indonesia,24/11/2022,10.95,95,Portugal,146.86,0.19,D4,Oswald MacGaughy,10,N12345,3785.11
4069,753,CLT,Thailand,6/7/2023 02:17,Thailand,25/3/2022,4.55,85,Egypt,80.57,0.33,E5,Alvie Sherville,5,N12345,3126.13
4070,6958,BFH,Poland,6/7/2023 00:02,Ukraine,26/1/2022,20.65,19,Philippines,777.96,13.51,D4,Darla Wellstood,6,N67890,1029.78
4071,1570,RNN,Kazakhstan,6/7/2023 18:34,United States,12/10/2022,19.72,85,Indonesia,853.12,36.69,F6,Rikki O'Kenny,8,N12345,2423.65
4072,3577,UIT,Poland,6/7/2023 20:58,Philippines,9/6/2022,23.64,88,China,555.41,25.21,E5,Diannne Breckwell,7,NABCDE,1856.35
4073,7112,WNU,China,6/7/2023 07:27,Ethiopia,16/12/2022,17.93,57,Indonesia,347.1,1.03,E5,Melloney Schultheiss,2,N12345,1966.1
