flight_id,flight_number,departure_airport,departure_country,departure_time,arrival_country,arrival_date,flight_duration,passenger_age,passenger_nationality,ticket_price,baggage_weight,arrival_gate,pilot_name,cabin_crew_count,aircraft_registration,flight_distance
3001,6712,DRW,Indonesia,6/7/2023 05:22,Bosnia and Herzegovina,9/9/2022,1.82,58,Poland,409.92,36.57,F6,Bil Gittis,7,N67890,347.53
3002,6018,KRV,Brazil,6/7/2023 20:35,Peru,15/4/2022,4.09,31,France,663.18,30.6,E5,Lock O'Hartigan,5,N12345,1326.09
3003,907,RAV,Japan,6/7/2023 21:54,Russia,20/10/2022,17.54,26,Poland,111.71,18.78,D4,Jillane De Cristofalo,9,N67890,3257.31
3004,6756,JAP,Thailand,6/7/2023 22:57,Tunisia,25/1/2022,5.47,60,Iran,359.91,28.69,D4,Elisabeth Hylden,10,N67890,3887.37
3005,3574,BDG,China,6/7/2023 15:40,China,1/10/2022,20.06,35,Mongolia,518.89,46.99,F6,Rodger Lampen,4,NABCDE,1547.72
3006,3974,DNK,Azerbaijan,6/7/2023 00:44,Nicaragua,29/6/2022,23.84,88,Poland,899.77,30.96,D4,Margy Guerreru,9,N67890,407.14
3007,2086,IQA,Japan,6/7/2023 00:52,China,7/3/2022,8.94,73,Indonesia,713.57,45.07,F6,Balduin Dickie,9,NABCDE,2037.57
3008,6897,GCJ,Pakistan,6/7/2023 04:16,Morocco,7/12/2022,12.65,61,Indonesia,821.35,11.86,E5,Westleigh Andrioli,7,N12345,2854.91
3009,3990,CTH,China,6/7/2023 18:23,Russia,17/2/2022,23.87,80,Russia,379.46,49.81,F6,Billy Burdess,10,N12345,4723.92
3010,7103,SVA,Philippines,6/7/2023 08:35,Vietnam,28/12/2022,1.99,92,Russia,550.73,31.96,E5,Grove Cossell,2,N12345,2951.54
3011,2923,SLN,China,6/7/2023 11:13,Indonesia,30/3/2022,18.81,32,China,695.46,39.13,E5,Fay O'Kynsillaghe,9,N12345,1159.33
3012,1561,PBH,Indonesia,6/7/2023 10:46,Czech Republic,20/5/2022,19.08,48,Indonesia,115.28,12.64,E5,Jeremy Petrenko,2,N67890,443.26
3013,4624,BOY,China,6/7/2023 02:44,Ecuador,16/8/2022,16.23,67,Argentina,288.93,38.04,E5,Tammie Crommett,5,N12345,4399.32
3014,7268,LZI,Philippines,6/7/2023 11:29,Poland,19/3/2022,13.76,93,Indonesia,844.43,39.72,F6,Eugene Hurles,1,NABCDE,1667.79
3015,993,NCO,Afghanistan,6/7/2023 14:26,Iran,26/8/2022,16.16,35,Germany,163.23,46.21,D4,Jessalin Domenichelli,4,NABCDE,3874.91
3016,4814,0,Czech Republic,6/7/2023 15:27,Croatia,2/1/2022,11.86,49,Indonesia,595.83,32.91,F6,Gill Steggles,5,N12345,1537.0
3017,7809,MJL,Czech Republic,6/7/2023 13:38,China,3/9/2022,10.17,32,Panama,948.05,23.63,F6,Newton MacCulloch,6,N12345,2810.95
3018,530,AIL,Indonesia,6/7/2023 13:16,China,22/2/2022,22.1,71,Brazil,601.57,2.14,D4,Sharon Deamer,1,N67890,4829.68
3019,3885,URZ,France,6/7/2023 10:36,France,29/3/2022,15.44,26,Macedonia,922.98,21.39,D4,Jeno Morot,10,NABCDE,3446.17
3020,9455,GNM,United States,6/7/2023 09:05,New Zealand,20/5/2022,6.52,63,Sweden,889.22,28.83,E5,Wendi Patroni,3,NABCDE,3070.89
3021,5573,MNE,Brazil,6/7/2023 01:38,Morocco,9/10/2022,10.6,97,Ukraine,771.98,31.83,F6,Robinett Bohey,6,N12345,2244.19
3022,9979,CGE,Canada,6/7/2023 02:09,Thailand,5/8/2022,10.91,61,Philippines,158.26,39.9,F6,Catriona Cristoforo,8,NABCDE,126.78
3023,8310,CJH,Poland,6/7/2023 23:13,Ecuador,3/6/2022,1.66,54,Portugal,457.91,41.06,D4,Joletta Mattheus,4,NABCDE,1588.94
3024,994,DBV,Costa Rica,6/7/2023 14:57,Saudi Arabia,25/9/2022,12.99,47,China,897.86,26.74,D4,Nettle Wathall,2,N67890,2814.16
3025,5729,DIJ,Argentina,6/7/2023 08:05,Sweden,15/11/2022,8.87,56,Philippines,584.29,3.34,F6,Leslie Arthur,9,N67890,4278.58
3026,6128,XAU,China,6/7/2023 10:43,United States,10/5/2022,7.39,71,Tanzania,142.47,24.75,E5,Chen Devenish,9,NABCDE,860.26
3027,9798,WLP,China,6/7/2023 10:38,China,25/8/2022,4.61,78,Russia,310.85,5.07,E5,Arden Coutts,1,N12345,3021.1
3028,3060,GDP,China,6/7/2023 07:46,South Korea,29/10/2022,19.03,82,Kazakhstan,435.6,28.21,D4,Mark Janney,6,N67890,811.65
3029,949,SME,China,6/7/2023 21:26,Ukraine,13/12/2022,18.39,55,Russia,349.17,1.39,D4,Dodie Thumann,10,N67890,318.61
3030,6128,PYA,Colombia,6/7/2023 07:44,France,29/5/2022,23.21,96,Guatemala,752.18,23.72,E5,Raf Ellse,6,N67890,1893.51
3031,5987,THW,Indonesia,6/7/2023 02:39,Japan,27/11/2022,7.03,58,Indonesia,518.79,34.31,F6,Allyn Doige,1,NABCDE,2981.35
3032,9864,LTR,China,6/7/2023 16:30,Philippines,24/11/2022,6.8,37,China,523.79,11.61,D4,Dannie Ferronel,5,N67890,1593.99
3033,189,MUO,Costa Rica,6/7/2023 01:21,Brazil,13/12/2022,22.42,35,Russia,726.95,34.08,D4,Paxon Yarranton,2,N12345,3308.52
3034,7589,SNI,Russia,6/7/2023 12:36,Finland,17/3/2022,16.08,32,Russia,276.5,2.4,E5,Cheston Imlen,7,N12345,3195.74
3035,2036,MOO,Philippines,6/7/2023 14:53,Poland,14/7/2022,19.46,53,Russia,649.25,18.47,E5,Kellyann Croysdale,1,N12345,222.67
3036,6089,YOD,Pakistan,6/7/2023 21:47,Serbia,21/2/2022,9.0,54,Nicaragua,935.23,28.77,D4,Remy Bussetti,9,N67890,962.86
3037,590,RMD,Indonesia,6/7/2023 15:44,Portugal,2/4/2022,10.33,40,Guatemala,649.31,22.79,D4,Aurilia Castiblanco,5,N67890,2884.57
3038,2485,SOR,Russia,6/7/2023 20:04,Afghanistan,3/7/2022,20.64,35,Indonesia,97.37,34.85,E5,Charles Bullerwell,7,N67890,4182.03
3039,9755,BEN,Turks and Caicos Islands,6/7/2023 12:34,Kyrgyzstan,12/8/2022,17.83,78,China,931.92,5.31,F6,Sybilla Skipworth,4,N12345,960.76
3040,3834,AOJ,China,6/7/2023 00:13,South Africa,10/3/2022,7.31,89,Indonesia,610.44,23.04,D4,Shep McCaughey,1,N12345,4081.75
3041,3148,AVK,Sweden,6/7/2023 09:27,Ukraine,3/12/2022,4.54,84,Germany,145.6,31.94,F6,Lenore Sambell,4,N67890,720.52
3042,7460,FLV,Botswana,6/7/2023 13:38,France,11/3/2022,19.47,59,Philippines,668.3,45.91,F6,Vanny Heningam,3,N12345,3543.82
3043,7536,DNS,Philippines,6/7/2023 19:02,Indonesia,12/2/2022,14.79,57,Russia,159.75,9.05,D4,Augy Bangiard,3,N12345,4353.94
3044,972,WED,United States,6/7/2023 20:24,Portugal,11/1/2022,7.13,46,Indonesia,882.21,46.15,D4,Rikki Fettiplace,6,NABCDE,1371.94
3045,4576,NTD,China,6/7/2023 21:15,Nigeria,25/8/2022,2.86,21,Brazil,996.64,30.92,F6,Lyssa Peachment,8,NABCDE,2505.09
3046,9537,SJB,Finland,6/7/2023 07:02,Indonesia,14/7/2022,9.53,44,France,582.64,44.58,E5,Milty Forrestill,9,NABCDE,1611.8
3047,1384,YVA,Burkina Faso,6/7/2023 03:35,Indonesia,17/12/2022,6.05,40,Uganda,665.73,47.87,F6,Allis Concannon,3,N67890,999.05
